Resolution,Bytes
2448,208016
2295,204997
2142,199716
1989,178321
1836,154208
1683,147996
1530,139961
1377,139259
1224,137592
1071,174576
918,231683
765,387727
612,257298
459,148064
306,69911
153,20086
