Resolution,Bytes
2448,293036
2295,295442
2142,303304
1989,274199
1836,259842
1683,258510
1530,265494
1377,281017
1224,296313
1071,803626
918,727870
765,535200
612,368856
459,219110
306,105369
153,28925
