Resolution,Bytes
2448,193233
2295,180709
2142,173424
1989,166362
1836,158526
1683,152450
1530,147074
1377,126642
1224,122163
1071,165089
918,282992
765,440729
612,310044
459,192673
306,102153
153,32987
