Resolution,Bytes
2448,177038
2295,170326
2142,160599
1989,150177
1836,141303
1683,132498
1530,126777
1377,122843
1224,103350
1071,121412
918,195004
765,362869
612,251426
459,150924
306,74350
153,20301
