Resolution,Bytes
2448,352003
2295,356479
2142,356590
1989,367611
1836,328580
1683,320982
1530,327035
1377,344635
1224,358174
1071,1064990
918,853281
765,641555
612,457763
459,286219
306,149451
153,44004
