Resolution,Bytes
2448,290152
2295,295416
2142,302534
1989,309902
1836,289688
1683,264105
1530,273416
1377,302305
1224,321722
1071,998295
918,796027
765,596189
612,422052
459,259391
306,132955
153,37968
