Resolution,Bytes
2448,185853
2295,172949
2142,162021
1989,152034
1836,141718
1683,130236
1530,124246
1377,114930
1224,96042
1071,100878
918,134478
765,392226
612,276881
459,170599
306,85552
153,24357
