Resolution,Bytes
2448,165074
2295,153496
2142,143474
1989,131122
1836,122245
1683,109946
1530,101649
1377,99451
1224,87841
1071,80275
918,95251
765,206411
612,238667
459,146030
306,74207
153,21748
