Resolution,Bytes
2448,167786
2295,159360
2142,148421
1989,138730
1836,124507
1683,116684
1530,109820
1377,103888
1224,90515
1071,86056
918,103358
765,246640
612,257866
459,162518
306,86425
153,26437
