Resolution,Bytes
2448,117645
2295,105519
2142,92945
1989,83780
1836,72546
1683,63055
1530,54737
1377,46528
1224,38228
1071,32327
918,27136
765,22536
612,21445
459,16874
306,74992
153,24599
