Resolution,Bytes
2448,259775
2295,250967
2142,248273
1989,241620
1836,233803
1683,217590
1530,194344
1377,190940
1224,186024
1071,286331
918,721336
765,545186
612,390990
459,244362
306,125601
153,36092
