Resolution,Bytes
2448,260382
2295,260596
2142,261845
1989,259851
1836,228992
1683,208127
1530,207555
1377,211477
1224,214866
1071,379700
918,692769
765,511752
612,356968
459,216810
306,109786
153,32625
