Resolution,Bytes
2448,275956
2295,280436
2142,277349
1989,269348
1836,237847
1683,232351
1530,230381
1377,245710
1224,246867
1071,540486
918,698266
765,513739
612,355031
459,211294
306,102198
153,27847
