Resolution,Bytes
2448,330182
2295,334847
2142,343731
1989,355963
1836,323279
1683,308655
1530,329869
1377,371100
1224,412069
1071,1043838
918,827212
765,618391
612,432783
459,264631
306,130282
153,35221
