Resolution,Bytes
2448,156789
2295,145371
2142,133065
1989,121882
1836,112101
1683,100815
1530,90832
1377,84525
1224,73054
1071,70993
918,66463
765,132522
612,239407
459,142403
306,69725
153,18828
