Resolution,Bytes
2448,181569
2295,168315
2142,160182
1989,151708
1836,137682
1683,133454
1530,118850
1377,102253
1224,83998
1071,84124
918,97479
765,191163
612,259392
459,155285
306,76555
153,22089
