Resolution,Bytes
2448,116087
2295,104031
2142,91544
1989,80786
1836,71204
1683,65725
1530,55631
1377,47132
1224,40133
1071,34984
918,30551
765,27928
612,22492
459,40157
306,62426
153,19854
