Resolution,Bytes
2448,318348
2295,309778
2142,289301
1989,294317
1836,286907
1683,300541
1530,309943
1377,342507
1224,362083
1071,814819
918,630634
765,454213
612,304376
459,175115
306,83022
153,22830
