Resolution,Bytes
2448,121095
2295,108793
2142,96071
1989,87133
1836,75461
1683,65721
1530,56915
1377,49506
1224,41836
1071,36178
918,31913
765,29982
612,24450
459,45442
306,77587
153,26268
