Resolution,Bytes
2448,128972
2295,116301
2142,103047
1989,93291
1836,81523
1683,71257
1530,62464
1377,53422
1224,45540
1071,39706
918,35861
765,34385
612,28210
459,71570
306,82645
153,28503
