Resolution,Bytes
2448,143682
2295,130264
2142,118945
1989,106400
1836,95524
1683,84082
1530,74177
1377,65260
1224,57130
1071,51239
918,49171
765,41436
612,51625
459,167836
306,91481
153,30645
