Resolution,Bytes
2448,169384
2295,154486
2142,138019
1989,131364
1836,115754
1683,108245
1530,95080
1377,88191
1224,80276
1071,72885
918,79214
765,124391
612,240816
459,151403
306,79826
153,24735
