Resolution,Bytes
2448,133509
2295,124317
2142,111299
1989,100067
1836,89828
1683,81745
1530,70597
1377,63693
1224,55031
1071,45948
918,36795
765,31614
612,40688
459,127294
306,65360
153,20637
