Resolution,Bytes
2448,283884
2295,283555
2142,265858
1989,243976
1836,242631
1683,239577
1530,240281
1377,248802
1224,250149
1071,471360
918,613467
765,445190
612,302928
459,176602
306,86476
153,25440
