Resolution,Bytes
2448,390500
2295,407729
2142,396985
1989,376753
1836,380837
1683,390950
1530,434799
1377,496522
1224,556742
1071,1052406
918,835495
765,619678
612,432319
459,262580
306,130011
153,34972
