Resolution,Bytes
2448,289995
2295,287571
2142,287729
1989,272028
1836,241326
1683,235118
1530,237997
1377,243278
1224,247376
1071,493703
918,709790
765,527798
612,369199
459,226709
306,114744
153,34195
