Resolution,Bytes
2448,151890
2295,139850
2142,127238
1989,118813
1836,106193
1683,95448
1530,87045
1377,80237
1224,73703
1071,62481
918,59621
765,71338
612,151511
459,157562
306,80536
153,25190
