Resolution,Bytes
2448,267981
2295,270971
2142,242278
1989,225960
1836,221217
1683,214289
1530,215226
1377,222051
1224,228221
1071,328985
918,530087
765,449332
612,306692
459,183218
306,91932
153,28484
