Resolution,Bytes
2448,322780
2295,306873
2142,288592
1989,292650
1836,282398
1683,287495
1530,298187
1377,309801
1224,327858
1071,733720
918,655281
765,465026
612,302891
459,165848
306,70906
153,16707
