Resolution,Bytes
2448,214536
2295,209559
2142,196273
1989,187248
1836,181355
1683,167323
1530,143795
1377,126787
1224,119238
1071,133611
918,168279
765,296685
612,342155
459,203629
306,99418
153,27559
