Resolution,Bytes
2448,370976
2295,386171
2142,347841
1989,360328
1836,369742
1683,391457
1530,447015
1377,530189
1224,672519
1071,967849
918,756164
765,548916
612,373159
459,217993
306,104001
153,27445
