Resolution,Bytes
2448,166973
2295,151946
2142,139388
1989,129920
1836,116886
1683,104199
1530,93698
1377,87170
1224,78306
1071,72584
918,73783
765,118329
612,236379
459,142880
306,71111
153,20629
