Resolution,Bytes
2448,240801
2295,231290
2142,227472
1989,225264
1836,216207
1683,200171
1530,177647
1377,179824
1224,176116
1071,268604
918,664543
765,495087
612,347319
459,211981
306,106188
153,29665
