Resolution,Bytes
2448,239349
2295,232977
2142,226592
1989,212419
1836,186219
1683,169986
1530,167482
1377,163897
1224,159040
1071,200908
918,365425
765,455354
612,310239
459,180865
306,85610
153,23167
