Resolution,Bytes
2448,163328
2295,151764
2142,138382
1989,129952
1836,116824
1683,107896
1530,98239
1377,91590
1224,81858
1071,66374
918,65474
765,75593
612,158298
459,165339
306,85325
153,26626
