Resolution,Bytes
2448,128903
2295,115809
2142,104658
1989,92804
1836,82393
1683,72931
1530,63347
1377,54950
1224,46100
1071,41016
918,38008
765,30064
612,27351
459,71550
306,71330
153,21342
