Resolution,Bytes
2448,187932
2295,180226
2142,165865
1989,156262
1836,146880
1683,135721
1530,130601
1377,118625
1224,99717
1071,97177
918,107849
765,156012
612,326648
459,203572
306,106876
153,33147
