Resolution,Bytes
2448,497023
2295,498981
2142,514858
1989,552941
1836,599137
1683,739557
1530,1304352
1377,1754499
1224,1444491
1071,1162062
918,904261
765,650973
612,435016
459,249431
306,115448
153,29620
