Resolution,Bytes
2448,105338
2295,94082
2142,82253
1989,72258
1836,61886
1683,53391
1530,45391
1377,38163
1224,30728
1071,24126
918,19551
765,14814
612,11332
459,9243
306,7453
153,20808
